District,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Livable,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Livable,Households_Urban_Toilet_Premise
Saiha,7043,154.946,3317.253,6740.151,5784,138.816,2226.84,5587.344
West Tripura,289621,4923.557,100208.866,282090.854,217016,1519.112,36024.656,215496.888
South Tripura,219171,10520.208,105640.422,207993.279,44906,673.59,19938.264,43738.444
Dhalai,89457,5546.334,46517.64,86236.548,14071,1350.816,6557.086,13986.574
North Tripura,150437,5867.043,74917.626,121101.785,42184,337.472,11305.312,41002.848
West Garo Hills,139351,7246.252,69257.447,84307.355,18594,297.504,6433.524,18277.902
East Garo Hills,62698,3260.296,20314.152,54547.26,11518,264.914,3305.666,11241.568
South Garo Hills,35930,1437.2,14875.02,30612.36,3713,133.668,1195.586,3642.453
West Khasi Hills,74832,3367.44,32102.928,61811.232,12299,442.764,3369.926,12053.02
Ribhoi,57988,4175.136,27544.3,38504.032,5736,516.24,2294.4,5529.504
East Khasi Hills,106248,8818.584,51424.032,86592.12,108843,7727.853,37441.992,105577.71
Jaintia Hills,76546,4210.03,37507.54,43095.398,7171,451.773,2445.311,6733.569
Kokrajhar,204896,7376.256,100194.144,162482.528,17115,205.38,7239.645,16550.205
Dhubri,460602,18424.08,235828.224,292021.668,60417,1631.259,25314.723,52804.458
Goalpara,228610,21032.12,128250.21,93272.88,39504,1817.184,18487.872,35751.12
Barpeta,447189,26384.151,241034.871,286648.149,52192,1617.952,17797.472,47703.488
Morigaon,232206,21595.158,122836.974,102867.258,25275,530.775,5939.625,24491.475
Nagaon,674999,56699.916,313199.536,294299.564,124186,2607.906,17386.04,119342.746
Sonitpur,483325,62832.25,265828.75,120347.925,64528,3032.816,16002.944,58139.728
Lakhimpur,293239,51610.064,188259.438,114363.21,34694,4232.668,13808.212,27789.894
Dhemaji,211758,26681.508,127901.832,131501.718,16504,1320.32,7657.856,14028.4
Tinsukia,290704,54652.352,183724.928,202911.392,90910,6727.34,30727.58,84364.48
Dibrugarh,299852,44378.096,187407.5,171515.344,77163,7098.996,33025.764,69678.189
Sivasagar,360182,49705.116,213587.926,259331.04,45047,2657.773,19685.539,42884.744
Jorhat,286330,29205.66,166357.73,157481.5,80824,3637.08,26025.328,76782.8
Golaghat,292893,28410.621,189794.664,157283.541,34190,1880.45,12889.63,32377.93
Karbi Anglong,215691,21569.1,142787.442,86923.473,37185,2677.32,17960.355,35548.86
Dima Hasao,37610,1880.5,21061.6,29072.53,21309,1065.45,7905.639,20137.005
Cachar,346227,19734.939,187655.034,256900.434,88933,3646.253,26413.101,85731.412
